timestamp,container,cpu_perc,mem_mib
1769547706.2555933,carol,2.40,26.92
1769547706.2555933,dave,0.99,26.87
1769547706.2555933,orchestrator,0.00,17.36
1769547709.3329206,alice,2.67,26.94
1769547709.3329206,bob,1.03,27.11
1769547709.3329206,carol,2.40,26.93
1769547709.3329206,dave,0.97,26.88
1769547709.3329206,orchestrator,0.00,17.36
1769547712.4146295,alice,2.76,27.2
1769547712.4146295,bob,1.91,27.12
1769547712.4146295,carol,2.81,26.93
1769547712.4146295,dave,1.27,26.65
1769547712.4146295,orchestrator,0.00,17.36
1769547715.5016503,alice,2.22,26.97
1769547715.5016503,bob,0.84,27.13
1769547715.5016503,carol,2.24,26.95
1769547715.5016503,dave,0.88,26.64
1769547715.5016503,orchestrator,0.00,17.37
1769547718.5789757,alice,2.23,26.98
1769547718.5789757,bob,0.89,26.88
1769547718.5789757,carol,2.23,27.21
1769547718.5789757,dave,0.88,26.64
1769547718.5789757,orchestrator,0.00,17.37
1769547721.6554396,alice,2.25,26.99
1769547721.6554396,bob,0.94,26.88
1769547721.6554396,carol,2.23,26.98
